repo,module,category,parent_module,energy,view
black,black.lines,internal,,1353495.6370116812,nested
black,dataclasses,stdlib,black.lines,184644.3913539516,nested
black,annotationlib,stdlib,black.lines,63427.615895385934,nested
black,typing,stdlib,black.lines,57211.89990436488,nested
black,reprlib,stdlib,black.lines,106680.253091383,nested
black,black.lines,internal,,941531.4767665957,flat
black,black.mode,internal,,1004974.9685448628,nested
black,enum,stdlib,black.mode,144864.17660027381,nested
black,dataclasses,stdlib,black.mode,108934.07691768275,nested
black,inspect,stdlib,black.mode,61924.82677599309,nested
black,pathlib,stdlib,black.mode,44462.084192459566,nested
black,typing,stdlib,black.mode,109124.61850132179,nested
black,_pytest,external,black.mode,68689.18243245075,nested
black,fnmatch,stdlib,black.mode,144000.14216260068,nested
black,annotationlib,stdlib,black.mode,101620.67683592268,nested
black,reprlib,stdlib,black.mode,58950.37955828509,nested
black,black.mode,internal,,162404.80456787263,flat
black,black.ranges,internal,,403032.14185387414,nested
black,dataclasses,stdlib,black.ranges,94271.81849235993,nested
black,typing,stdlib,black.ranges,81810.48153736618,nested
black,reprlib,stdlib,black.ranges,88720.35986866005,nested
black,annotationlib,stdlib,black.ranges,53871.10354887975,nested
black,difflib,stdlib,black.ranges,65359.04639294636,nested
black,black.ranges,internal,,18999.332013661926,flat
black,black.linegen,internal,,1751831.9212735062,nested
black,enum,stdlib,black.linegen,65667.36859728492,nested
black,pathlib,stdlib,black.linegen,68576.2217260582,nested
black,typing,stdlib,black.linegen,100960.81817835162,nested
black,_pytest,external,black.linegen,80161.17372752773,nested
black,pluggy,external,black.linegen,88727.51348819844,nested
black,fnmatch,stdlib,black.linegen,73258.41806406704,nested
black,functools,stdlib,black.linegen,128503.06490645887,nested
black,re,stdlib,black.linegen,39905.0567291513,nested
black,dataclasses,stdlib,black.linegen,47523.678295854326,nested
black,black.linegen,internal,,1058548.6075605538,flat
black,black.brackets,internal,,818751.7165645959,nested
black,dataclasses,stdlib,black.brackets,98859.38504759665,nested
black,typing,stdlib,black.brackets,100329.28156300727,nested
black,reprlib,stdlib,black.brackets,67814.9138612128,nested
black,annotationlib,stdlib,black.brackets,47891.73040121375,nested
black,black.brackets,internal,,503856.4056915655,flat
black,black,internal,,2115664.2087942446,nested
black,re,stdlib,black,135237.27525139615,nested
black,mypy_extensions,external,black,65060.46735827415,nested
black,click,external,black,109799.30707978262,nested
black,typing,stdlib,black,58952.206232612414,nested
black,platform,stdlib,black,95401.90977851946,nested
black,enum,stdlib,black,77894.38387352451,nested
black,locale,stdlib,black,75144.6299136315,nested
black,_pytest,external,black,92934.24412641319,nested
black,pathlib,stdlib,black,129070.34247565923,nested
black,fnmatch,stdlib,black,64099.62871149274,nested
black,gettext,stdlib,black,70717.49867911926,nested
black,encodings,stdlib,black,72503.94870461551,nested
black,inspect,stdlib,black,48516.4134377318,nested
black,unittest,stdlib,black,122419.76285207534,nested
black,tokenize,stdlib,black,41343.011310939844,nested
black,functools,stdlib,black,51554.04873764919,nested
black,pluggy,external,black,44186.350680424344,nested
black,dataclasses,stdlib,black,243726.616984202,nested
black,pathspec,external,black,67372.47239583627,nested
black,annotationlib,stdlib,black,53095.838566615756,nested
black,_py_warnings,stdlib,black,50426.731689480854,nested
black,reprlib,stdlib,black,79404.04119449039,nested
black,weakref,stdlib,black,22547.044474820075,nested
black,contextlib,stdlib,black,27286.564150224498,nested
black,black,internal,,216969.4701347136,flat
black,black.comments,internal,,1045662.8492742369,nested
black,dataclasses,stdlib,black.comments,94155.77173243502,nested
black,reprlib,stdlib,black.comments,98816.8844649593,nested
black,re,stdlib,black.comments,34525.42473748593,nested
black,functools,stdlib,black.comments,102069.87584843244,nested
black,typing,stdlib,black.comments,102557.8176460439,nested
black,pathlib,stdlib,black.comments,73452.58112512989,nested
black,_pytest,external,black.comments,140943.67192477817,nested
black,annotationlib,stdlib,black.comments,29511.598578924782,nested
black,enum,stdlib,black.comments,58799.26375533665,nested
black,fnmatch,stdlib,black.comments,45467.202129025965,nested
black,black.comments,internal,,265362.757331685,flat
black,black.nodes,internal,,1763718.1025249742,nested
black,dataclasses,stdlib,black.nodes,250524.6475422812,nested
black,pathlib,stdlib,black.nodes,85418.23367961026,nested
black,enum,stdlib,black.nodes,86064.40620255316,nested
black,fnmatch,stdlib,black.nodes,73841.42171900743,nested
black,re,stdlib,black.nodes,81128.41065886151,nested
black,functools,stdlib,black.nodes,114625.60823413142,nested
black,inspect,stdlib,black.nodes,72244.3410342722,nested
black,_pytest,external,black.nodes,91862.1583711417,nested
black,typing,stdlib,black.nodes,65993.41126456347,nested
black,annotationlib,stdlib,black.nodes,70980.6116868529,nested
black,reprlib,stdlib,black.nodes,56329.52853997897,nested
black,contextlib,stdlib,black.nodes,87770.07632228163,nested
black,logging,stdlib,black.nodes,80401.11878915461,nested
black,pluggy,external,black.nodes,113357.31996261534,nested
black,mypy_extensions,external,black.nodes,17750.09901100043,nested
black,collections,stdlib,black.nodes,95881.7496392199,nested
black,black.nodes,internal,,319544.9598674481,flat
black,black.files,internal,,3409887.884411428,nested
black,re,stdlib,black.files,1097033.0432347464,nested
black,pathlib,stdlib,black.files,127980.84245627405,nested
black,packaging,external,black.files,104922.00615568728,nested
black,collections,stdlib,black.files,83950.77910759523,nested
black,typing,stdlib,black.files,158613.9963838169,nested
black,sysconfig,stdlib,black.files,77160.95362087057,nested
black,enum,stdlib,black.files,88387.93489685244,nested
black,_pytest,external,black.files,78248.55992595288,nested
black,tomllib,stdlib,black.files,412778.6695576921,nested
black,functools,stdlib,black.files,71219.96670630066,nested
black,annotationlib,stdlib,black.files,199652.35677437074,nested
