repo,test_file,testcase,module,weight,category,parent_module
black,test_black.py,test_assertFormatEqual_print_full_tree,black.files,0.408721,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.nodes,0.117637,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.cache,0.08089,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black,0.068989,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.lines,0.057376,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.handle_ipynb_magics,0.047522,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.mode,0.04686,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.strings,0.04074,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.ranges,0.027075,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.brackets,0.02509,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.parsing,0.020588,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.linegen,0.020397,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.debug,0.019366,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,black.report,0.018749,internal,
black,test_black.py,test_assertFormatEqual_print_full_tree,re,0.040777,stdlib,black
black,test_black.py,test_assertFormatEqual_print_full_tree,enum,0.013678,stdlib,black
black,test_black.py,test_assertFormatEqual_print_full_tree,mypy_extensions,0.014534,external,black
black,test_black.py,test_assertFormatEqual_print_full_tree,dataclasses,0.02509,stdlib,black.brackets
black,test_black.py,test_assertFormatEqual_print_full_tree,re,0.040563,stdlib,black.cache
black,test_black.py,test_assertFormatEqual_print_full_tree,_pytest,0.019947,external,black.cache
black,test_black.py,test_assertFormatEqual_print_full_tree,re,0.388165,stdlib,black.files
black,test_black.py,test_assertFormatEqual_print_full_tree,functools,0.020556,stdlib,black.files
black,test_black.py,test_assertFormatEqual_print_full_tree,dataclasses,0.026524,stdlib,black.handle_ipynb_magics
black,test_black.py,test_assertFormatEqual_print_full_tree,pathlib,0.020998,stdlib,black.handle_ipynb_magics
black,test_black.py,test_assertFormatEqual_print_full_tree,enum,0.020397,stdlib,black.linegen
black,test_black.py,test_assertFormatEqual_print_full_tree,dataclasses,0.057376,stdlib,black.lines
black,test_black.py,test_assertFormatEqual_print_full_tree,dataclasses,0.026389,stdlib,black.mode
black,test_black.py,test_assertFormatEqual_print_full_tree,enum,0.02047,stdlib,black.mode
black,test_black.py,test_assertFormatEqual_print_full_tree,dataclasses,0.056069,stdlib,black.nodes
black,test_black.py,test_assertFormatEqual_print_full_tree,re,0.02069,stdlib,black.nodes
black,test_black.py,test_assertFormatEqual_print_full_tree,enum,0.020201,stdlib,black.nodes
black,test_black.py,test_assertFormatEqual_print_full_tree,pluggy,0.020677,external,black.nodes
black,test_black.py,test_assertFormatEqual_print_full_tree,dataclasses,0.027075,stdlib,black.ranges
black,test_black.py,test_assertFormatEqual_print_full_tree,enum,0.018749,stdlib,black.report
black,test_black.py,test_assertFormatEqual_print_full_tree,re,0.04074,stdlib,black.strings
black,test_black.py,test_assertFormatEqual_print_tree_diff,black.nodes,1.0,internal,
black,test_black.py,test_bpo_2142_workaround,black.comments,0.666847,internal,
black,test_black.py,test_bpo_2142_workaround,black.cache,0.333153,internal,
black,test_black.py,test_bpo_2142_workaround,pathlib,0.333153,stdlib,black.cache
black,test_black.py,test_bpo_2142_workaround,re,0.33353,stdlib,black.comments
black,test_black.py,test_bpo_33660_workaround,UNMAPPED,0.0,,
black,test_black.py,test_broken_symlink,UNMAPPED,0.0,,
black,test_black.py,test_carriage_return_edge_cases,black,0.333415,internal,
black,test_black.py,test_carriage_return_edge_cases,black.brackets,0.331688,internal,
black,test_black.py,test_carriage_return_edge_cases,black.linegen,0.113084,internal,
black,test_black.py,test_carriage_return_edge_cases,black.comments,0.111019,internal,
black,test_black.py,test_carriage_return_edge_cases,black.nodes,0.110794,internal,
black,test_black.py,test_check_diff_use_together,black.lines,0.214316,internal,
black,test_black.py,test_check_diff_use_together,black.linegen,0.191405,internal,
black,test_black.py,test_check_diff_use_together,black.concurrency,0.09831,internal,
black,test_black.py,test_check_diff_use_together,black.brackets,0.092805,internal,
black,test_black.py,test_check_diff_use_together,black.nodes,0.087018,internal,
black,test_black.py,test_check_diff_use_together,black,0.074149,internal,
black,test_black.py,test_check_diff_use_together,black.comments,0.063529,internal,
black,test_black.py,test_check_diff_use_together,black.strings,0.046321,internal,
black,test_black.py,test_check_diff_use_together,black.parsing,0.045174,internal,
black,test_black.py,test_check_diff_use_together,black.files,0.040622,internal,
black,test_black.py,test_check_diff_use_together,black.mode,0.034788,internal,
black,test_black.py,test_check_diff_use_together,black.trans,0.011562,internal,
black,test_black.py,test_check_diff_use_together,multiprocessing,0.062432,stdlib,black.concurrency
black,test_black.py,test_check_diff_use_together,signal,0.010508,stdlib,black.concurrency
black,test_black.py,test_check_diff_use_together,asyncio,0.007294,stdlib,black.concurrency
black,test_black.py,test_check_diff_use_together,socket,0.006525,stdlib,black.concurrency
black,test_black.py,test_check_diff_use_together,enum,0.005789,stdlib,black.concurrency
black,test_black.py,test_check_diff_use_together,fnmatch,0.005762,stdlib,black.concurrency
black,test_black.py,test_check_diff_use_together,re,0.029001,stdlib,black.files
black,test_black.py,test_check_diff_use_together,pathlib,0.011621,stdlib,black.files
black,test_black.py,test_cli_unstable,black,0.431561,internal,
black,test_black.py,test_cli_unstable,black.nodes,0.425338,internal,
black,test_black.py,test_cli_unstable,black.lines,0.143101,internal,
black,test_black.py,test_cli_unstable,textwrap,0.144435,stdlib,black
black,test_black.py,test_cli_unstable,tokenize,0.143907,stdlib,black
black,test_black.py,test_cli_unstable,click,0.143219,external,black
black,test_black.py,test_code_option,black.files,0.748483,internal,
black,test_black.py,test_code_option,black,0.251517,internal,
black,test_black.py,test_code_option,re,0.251517,stdlib,black
black,test_black.py,test_code_option,tomllib,0.748483,stdlib,black.files
black,test_black.py,test_code_option_changed,black.linegen,0.337493,internal,
black,test_black.py,test_code_option_changed,black.strings,0.33222,internal,
black,test_black.py,test_code_option_changed,black.parsing,0.330287,internal,
black,test_black.py,test_code_option_changed,ast,0.330287,stdlib,black.parsing
black,test_black.py,test_code_option_check,UNMAPPED,0.0,,
