repo,testcase,module,time_seconds,weight
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,__init__.py,0.00075,0.11268
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,cache.py,0.00018,0.02731
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,mode.py,0.00071,0.10611
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,const.py,0.00000,0.00072
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,output.py,0.00063,0.09484
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,comments.py,0.00010,0.01563
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,nodes.py,0.00058,0.08792
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,strings.py,0.00008,0.01194
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,_width_table.py,0.00006,0.00858
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,files.py,0.00011,0.01656
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,handle_ipynb_magics.py,0.00021,0.03179
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,report.py,0.00012,0.01856
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,linegen.py,0.00032,0.04774
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,brackets.py,0.00016,0.02360
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,lines.py,0.00048,0.07267
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,numerics.py,0.00002,0.00290
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,trans.py,0.00046,0.06860
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,rusty.py,0.00015,0.02190
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,parsing.py,0.00016,0.02344
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,ranges.py,0.00009,0.01366
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_full_tree,debug.py,0.00128,0.19283
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_tree_diff,parsing.py,0.00005,0.03701
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_tree_diff,nodes.py,0.00031,0.21639
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_tree_diff,debug.py,0.00083,0.58012
black,tests/test_black.py::BlackTestCase::test_assertFormatEqual_print_tree_diff,output.py,0.00024,0.16648
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,output.py,0.00019,0.02282
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,__init__.py,0.00182,0.21614
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,files.py,0.00032,0.03836
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,cache.py,0.00015,0.01757
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,mode.py,0.00053,0.06343
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,parsing.py,0.00024,0.02864
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,nodes.py,0.00050,0.05892
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,comments.py,0.00134,0.15916
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,linegen.py,0.00085,0.10072
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,brackets.py,0.00049,0.05853
black,tests/test_black.py::BlackTestCase::test_bpo_2142_workaround,lines.py,0.00195,0.23100
